CustomerName,Email,Phone,Price,Quantity,SKU,Description,ShippingStreet,ShippingCity,ShippingState,ShippingZip,OrderNotes
Crest Enterprises,crest.enterprises@nexusmail.com,+91-9062646709,8.30,19,CABLE-8328,Pallet Rack 96in,"908, Lake View Rd",Bhubaneswar,OD,751001,Rush delivery needed
Reliable Retail,reliable.retail@yahoo.com,+91-8271794550,598.25,43,UNIF-6132,Cut Resistant Gloves L,"532, Lake View Rd",Chandigarh,CH,160001,Weekend delivery
NexGen Logistics,nexgen.logistics@rediffmail.com,+91-8552445171,15.85,34,RACK-6570,Label Printer 4x6,"944, Hospital Road",Allahabad,UP,211001,Express delivery
Crest Enterprises,crest.enterprises@gmail.com,+91-8297238651,39.80,15,CASE-6964,Shipping Box L,"586, Industrial Blvd",Bhopal,MP,462001,Gift wrap please
Cascade Imports,cascade.imports@rediffmail.com,+91-7966868262,23.53,36,UNIF-5761,Bluetooth Speaker,"598, Main St",Nashik,MH,422001,Handle with care
Delta Commerce,delta.commerce@fastmail.com,+91-8204275213,24.86,28,FILTER-4474,Shipping Box L,"26, Industrial Blvd",Srinagar,JK,190001,Standard shipping
Delta Commerce,delta.commerce@nexusmail.com,+91-7965075767,59.43,42,UNIF-8957,Receipt Printer Thermal,"81, Hospital Road",Nashik,MH,422001,Handle with care
Pinnacle Wholesale,pinnacle.wholesale@nexusmail.com,+91-7656353746,59.43,8,LIGHT-5395,Wireless Charger Pad,"310, Station Road",Kolkata,WB,700001,Weekend delivery
Eclipse Logistics,eclipse.logistics@company.in,+91-9465481188,91.98,46,CHARG-0140,Tablet Folio Case,"289, College Road",Indore,MP,452001,
Apex Ventures,apex.ventures@proton.me,+91-8679829566,198.04,38,PACK-3729,Bluetooth Speaker,"741, Station Road",Tiruvananthapuram,KL,695001,
Reliable Retail,reliable.retail@zoho.com,+91-8535970476,251.13,34,FILTER-1407,Air Purifier Filter,"867, Technology Park",Ludhiana,PB,141001,
Orion Industries,orion.industries@proton.me,+91-8227828212,26.40,29,RACK-2103,Tablet Folio Case,"966, Station Road",Bhopal,MP,462001,Rush delivery needed
Acme Corp,acme.corp@zoho.com,+91-9466262870,59.67,22,CART-4910,Air Purifier Filter,"602, Main St",Amritsar,PB,143001,
Crest Enterprises,crest.enterprises@gmail.com,+91-8975989670,25.26,10,RACK-6405,Shipping Box L,"210, Sector",Jaipur,RJ,302001,
GlobalMart,globalmart@fastmail.com,+91-8479593755,13.42,13,CASE-1528,Lithium Battery Pack,"107, MG Road",Visakhapatnam,AP,530001,Office hours only
Omega Brands,omega.brands@outlook.com,+91-7652019108,89.94,45,PACK-4651,Smart Bulb WiFi,"239, Business Center",Bangalore,KA,560001,Fragile items
Titan Trading,titan.trading@fastmail.com,+91-7563052830,49.46,30,SEAL-6408,Lithium Battery Pack,"114, Industrial Blvd",Ahmedabad,GJ,380001,Rush delivery needed
Omega Brands,omega.brands@proton.me,+91-7676527030,59.55,48,LIGHT-5076,Tamper Seal 100pk,"838, Station Road",Chandigarh,CH,160001,
Titan Trading,titan.trading@zoho.com,+91-7665175860,131.75,39,LABEL-4513,LED Desk Lamp,"8, Industrial Blvd",Surat,GJ,395001,Office hours only
Delta Commerce,delta.commerce@yahoo.com,+91-9881074350,150.09,39,LABEL-7581,Wire Shelving Unit 5-tier,"41, Station Road",Tiruvananthapuram,KL,695001,Office hours only
GlobalMart,globalmart@company.in,+91-9654132954,29.55,23,SEAL-4082,AA Rechargeable 4pk,"922, Tower Road",Guwahati,AS,781001,
Astra Corporation,astra.corporation@proton.me,+91-8289515723,20.78,25,AUDIO-2588,Car Charger 36W,"904, MG Road",Guwahati,AS,781001,Handle with care
Omega Brands,omega.brands@company.in,+91-9496482459,26.62,45,ELEC-6042,Precision Tool Kit,"774, Park Ave",Ahmedabad,GJ,380001,Standard shipping
Vega Exports,vega.exports@rediffmail.com,+91-7146270577,79.00,29,WIDGET-1200,Label Printer 4x6,"712, MG Road",Kochi,KL,682001,Weekend delivery
Astra Corporation,astra.corporation@zoho.com,+91-7123711407,14.41,22,CHARG-1879,HDMI Cable 6ft,"335, MG Road",Visakhapatnam,AP,530001,Standard shipping
Astra Corporation,astra.corporation@zoho.com,+91-7793967373,58.32,30,CABLE-7714,Car Charger 36W,"862, Industrial Blvd",Mysore,KA,570001,
NexGen Logistics,nexgen.logistics@gmail.com,+91-8280732079,13.49,12,TOOL-0184,Car Charger 36W,"158, Lake View Rd",Kolkata,WB,700001,
Apex Ventures,apex.ventures@outlook.com,+91-7708367941,91.56,46,GADGET-8567,Receipt Printer Thermal,"679, Station Road",Bhopal,MP,462001,Weekend delivery
Titan Trading,titan.trading@yahoo.com,+91-7015216378,29.77,45,PACK-3306,Noise Canceling Headphones,"384, Bazaar Street",Visakhapatnam,AP,530001,Office hours only
Quantum Distribution,quantum.distribution@nexusmail.com,+91-8104635185,2.10,2,TOOL-3614,Power Adapter 100W,"817, College Road",Chennai,TN,600001,Rush delivery needed
Eclipse Logistics,eclipse.logistics@outlook.com,+91-8071952294,4.04,3,CART-3106,Mobile Computer PDA,"213, Bazaar Street",Surat,GJ,395001,
Omega Brands,omega.brands@proton.me,+91-8059632756,58.85,8,WIDGET-6589,Receipt Printer Thermal,"324, Main St",Coimbatore,TN,641001,Call before delivery
Zenith Group,zenith.group@nexusmail.com,+91-9129791777,60.62,15,PACK-0720,Precision Tool Kit,"907, Technology Park",Guwahati,AS,781001,Leave at front door
Orion Industries,orion.industries@company.in,+91-8865132473,201.16,7,CHARG-1553,Barcode Scanner USB,"333, MG Road",Mysore,KA,570001,
Polaris Retail,polaris.retail@proton.me,+91-8041997342,20.53,22,GLOVE-1107,Water Filter Cartridge,"19, Tower Road",Jaipur,RJ,302001,
Cascade Imports,cascade.imports@icloud.com,+91-8649687000,23.55,25,WIDGET-3812,Plastic Widget XL,"632, Hospital Road",Vadodara,GJ,390001,Gift wrap please
Horizon Wholesale,horizon.wholesale@yahoo.com,+91-7260117854,11.02,16,CABLE-6137,Cut Resistant Gloves L,"304, Technology Park",Rajkot,GJ,360001,Office hours only
PrimeSourcing,primesourcing@proton.me,+91-8959768160,88.94,42,FILTER-2200,Car Charger 36W,"326, MG Road",Bhopal,MP,462001,
Vertex Solutions,vertex.solutions@gmail.com,+91-7077640016,201.24,27,FILTER-5616,Noise Canceling Headphones,"211, Market Complex",Goa,GA,403001,
TechStart Inc,techstart.inc@nexusmail.com,+91-8449592546,9.08,39,WIDGET-1059,Cut Resistant Gloves L,"72, Technology Park",Ludhiana,PB,141001,Fragile items
TechStart Inc,techstart.inc@outlook.com,+91-9723736787,23.68,9,AUDIO-8314,Basic Tool Set,"437, Station Road",Bhopal,MP,462001,Weekend delivery
Delta Commerce,delta.commerce@company.in,+91-8985242632,38.97,47,CASE-4676,Wire Shelving Unit 5-tier,"460, MG Road",Surat,GJ,395001,Fragile items
Reliable Retail,reliable.retail@company.in,+91-8542467852,6.58,6,SEAL-8279,Mobile Computer PDA,"753, Sector",Chandigarh,CH,160001,Fragile items
Helix Suppliers,helix.suppliers@outlook.com,+91-9486649351,8.70,2,SCAN-8802,USB-C Cable 3ft,"567, Station Road",Chandigarh,CH,160001,Handle with care
NexGen Logistics,nexgen.logistics@company.in,+91-8842089432,29.80,30,GLOVE-1179,Water Filter Cartridge,"140, Station Road",Visakhapatnam,AP,530001,Standard shipping
Sigma Networks,sigma.networks@nexusmail.com,+91-9393259054,28.04,13,GLOVE-6629,Packing Tape 36yd,"963, Sector",Lucknow,UP,226001,Weekend delivery
Astra Corporation,astra.corporation@rediffmail.com,+91-7233463580,30.55,32,GADGET-2040,Shipping Box L,"955, Tower Road",Visakhapatnam,AP,530001,Office hours only
NexGen Logistics,nexgen.logistics@nexusmail.com,+91-9080758258,5.03,17,GADGET-6314,Tamper Seal 100pk,"754, Technology Park",Coimbatore,TN,641001,Express delivery
Quantum Distribution,quantum.distribution@zoho.com,+91-9285497251,300.82,24,PRINT-2423,Wireless Charger Pad,"620, Lake View Rd",Bangalore,KA,560001,Rush delivery needed
Titan Trading,titan.trading@outlook.com,+91-9757431158,90.30,16,WIDGET-1913,Basic Tool Set,"660, Station Road",Nashik,MH,422001,
Cascade Imports,cascade.imports@proton.me,+91-8699134749,251.89,46,SEAL-2717,Tamper Seal 100pk,"259, Station Road",Tiruvananthapuram,KL,695001,Handle with care
Elite Traders,elite.traders@fastmail.com,+91-8348721648,9.33,43,ELEC-9382,Shipping Box S,"834, Industrial Blvd",Bhubaneswar,OD,751001,
Pinnacle Wholesale,pinnacle.wholesale@nexusmail.com,+91-9675174451,28.02,45,WIDGET-1588,Precision Tool Kit,"793, Station Road",Tiruvananthapuram,KL,695001,Fragile items
Orion Industries,orion.industries@fastmail.com,+91-7578059106,15.92,42,BATT-2201,LED Desk Lamp,"499, Industrial Blvd",Kochi,KL,682001,Fragile items
Vega Exports,vega.exports@yahoo.com,+91-9457333950,23.73,37,LIGHT-4250,Packing Tape 36yd,"452, MG Road",Vadodara,GJ,390001,Rush delivery needed
Cascade Imports,cascade.imports@icloud.com,+91-8237726342,78.31,41,CHARG-1053,Water Filter Cartridge,"31, Tower Road",Kolkata,WB,700001,Handle with care
Quantum Distribution,quantum.distribution@zoho.com,+91-9463410947,33.03,44,RACK-0686,Power Adapter 100W,"217, Market Complex",Mysore,KA,570001,Leave at front door
Vertex Solutions,vertex.solutions@gmail.com,+91-7871073691,13.94,39,GLOVE-5522,Barcode Scanner USB,"440, Ring Road",Visakhapatnam,AP,530001,
Apex Ventures,apex.ventures@rediffmail.com,+91-9001417502,7.65,16,PACK-5411,Power Adapter 100W,"4, Lake View Rd",Varanasi,UP,221001,Standard shipping
Phoenix Trade,phoenix.trade@proton.me,+91-7915742576,88.48,2,PACK-7405,Mobile Computer PDA,"703, MG Road",Jaipur,RJ,302001,Weekend delivery
Phoenix Trade,phoenix.trade@zoho.com,+91-9662752229,38.00,27,WIDGET-5902,Smart Gadget Pro,"993, Hospital Road",Udaipur,RJ,313001,
Astra Corporation,astra.corporation@rediffmail.com,+91-9007320665,89.93,15,PACK-7011,Nitrile Gloves M 100pk,"675, College Road",Vadodara,GJ,390001,
Polaris Retail,polaris.retail@yahoo.com,+91-9850378164,88.77,19,RACK-8268,Smart Gadget Pro,"131, Lake View Rd",Visakhapatnam,AP,530001,Fragile items
Vertex Solutions,vertex.solutions@yahoo.com,+91-7550668495,351.94,44,ELEC-7900,Utility Cart 300lb,"247, Technology Park",Rajkot,GJ,360001,Express delivery
Reliable Retail,reliable.retail@outlook.com,+91-7525052795,11.96,7,PACK-4594,Bluetooth Speaker,"737, Business Center",Chennai,TN,600001,Rush delivery needed
Titan Trading,titan.trading@zoho.com,+91-9377074482,14.68,43,TOOL-5453,Bluetooth Speaker,"955, Tower Road",Pune,MH,411001,
Helix Suppliers,helix.suppliers@icloud.com,+91-9434560023,24.50,42,PRINT-9207,Tamper Seal 100pk,"828, Technology Park",Ahmedabad,GJ,380001,
