supplier,sku,quantity,unit_price,status,order_date,expected_date,notes
Zeta Fabrication,CABLE-4367,1607,27.57,DRAFT,2025-12-10,2026-01-12,Promotional order
Lambda Tools & Dies,WIDGET-5983,2022,49.45,PENDING_APPROVAL,2025-06-17,2025-07-17,Quarterly restock
Mu Engineering Corp,PACK-4517,4854,17.11,PARTIAL,2026-04-20,2026-04-30,
Theta Electronics,PRINT-6248,2429,9.73,ORDERED,2025-08-27,2025-09-05,
Lambda Tools & Dies,WIDGET-7540,4344,20.50,RECEIVED,2025-03-12,2025-03-21,Standard order
Gamma Raw Materials,CASE-4752,4340,21.34,PARTIAL,2025-11-01,2025-11-16,Standard order
Beta Manufacturing Inc,UNIF-7904,2568,198.96,DRAFT,2025-10-14,2025-11-06,Standard order
Xi Industrial Supply,GADGET-1012,3648,64.76,RECEIVED,2025-03-15,2025-04-09,Quarterly restock
Alpha Components Ltd,CASE-9314,4972,15.12,ORDERED,2025-10-24,2025-11-03,Backfill stock
Beta Manufacturing Inc,CABLE-1203,533,4.89,CANCELLED,2025-10-09,2025-10-29,Standard order
Alpha Components Ltd,PACK-6070,126,15.65,RECEIVED,2026-06-19,2026-07-28,
Iota Hardware Solutions,FILTER-0638,3220,2.41,ORDERED,2026-04-01,2026-04-30,Standard order
Epsilon Industrial,ELEC-4340,4329,42.21,DRAFT,2025-12-07,2026-01-08,Urgent requirement
Kappa Machinery Works,PACK-1974,2227,11.42,ORDERED,2025-02-22,2025-03-10,Standard order
Zeta Fabrication,AUDIO-8846,3230,28.41,APPROVED,2025-05-06,2025-05-20,Standard order
Omicron Materials Tech,SEAL-2854,3907,23.68,CANCELLED,2026-01-14,2026-02-02,Backfill stock
Beta Manufacturing Inc,GADGET-6438,910,171.41,APPROVED,2025-01-11,2025-02-03,
Gamma Raw Materials,FILTER-5698,1814,38.46,DRAFT,2026-05-24,2026-06-12,
Omicron Materials Tech,TOOL-3063,1242,21.94,APPROVED,2025-02-02,2025-03-15,Backfill stock
Zeta Fabrication,BATT-4926,213,264.34,RECEIVED,2025-02-05,2025-03-11,Quarterly restock
Zeta Fabrication,AUDIO-3847,3388,56.67,DRAFT,2025-09-01,2025-09-12,Standard order
Nu Systems Inc,CHARG-0966,260,70.49,PARTIAL,2025-04-28,2025-05-15,
Mu Engineering Corp,ELEC-9622,1161,131.08,PARTIAL,2026-04-04,2026-04-30,Standard order
Zeta Fabrication,RACK-4209,1278,3.39,PENDING_APPROVAL,2025-11-02,2025-11-30,Urgent requirement
Gamma Raw Materials,PACK-6986,2184,130.42,PENDING_APPROVAL,2026-03-20,2026-05-04,
Xi Industrial Supply,SEAL-4563,4544,51.81,DRAFT,2025-12-09,2025-12-20,Quarterly restock
Kappa Machinery Works,PRINT-2223,3886,7.60,PENDING_APPROVAL,2025-01-20,2025-02-23,
Theta Electronics,GLOVE-8465,1963,6.62,PARTIAL,2025-03-10,2025-03-17,
Alpha Components Ltd,UNIF-2208,2109,37.54,CANCELLED,2025-08-17,2025-09-15,Standard order
Mu Engineering Corp,AUDIO-3130,845,3.67,PENDING_APPROVAL,2025-02-26,2025-04-09,Quarterly restock
Lambda Tools & Dies,AUDIO-7083,3206,21.21,ORDERED,2025-06-17,2025-06-25,Standard order
Theta Electronics,CABLE-9661,2715,36.16,ORDERED,2026-02-15,2026-02-25,
Kappa Machinery Works,SEAL-1809,766,11.49,DRAFT,2025-09-03,2025-09-11,Quarterly restock
Lambda Tools & Dies,PRINT-7824,3253,9.97,ORDERED,2025-01-22,2025-03-03,
Delta Parts Supply,LIGHT-3581,4827,71.49,APPROVED,2025-02-15,2025-03-19,
Mu Engineering Corp,PACK-8082,3557,25.12,APPROVED,2025-12-29,2026-01-06,Urgent requirement
Lambda Tools & Dies,GADGET-5567,448,55.43,PENDING_APPROVAL,2025-02-14,2025-03-19,Quarterly restock
Zeta Fabrication,GADGET-9676,4187,63.48,APPROVED,2026-03-18,2026-04-12,Backfill stock
Nu Systems Inc,TOOL-9586,4751,12.48,CANCELLED,2025-05-10,2025-06-02,Promotional order
Eta Packaging Co,TOOL-6430,444,4.22,PENDING_APPROVAL,2025-02-13,2025-03-20,
Beta Manufacturing Inc,RACK-1928,4184,37.01,APPROVED,2025-08-04,2025-09-06,
Iota Hardware Solutions,CHARG-9993,167,96.02,DRAFT,2026-04-06,2026-05-11,Backfill stock
Kappa Machinery Works,TOOL-1949,3967,7.31,APPROVED,2025-01-24,2025-02-02,Backfill stock
Delta Parts Supply,GLOVE-5555,1680,24.48,ORDERED,2025-12-29,2026-01-13,Quarterly restock
Kappa Machinery Works,FILTER-0860,4460,127.04,ORDERED,2025-02-06,2025-02-25,Urgent requirement
Delta Parts Supply,SEAL-8122,2434,255.07,CANCELLED,2026-01-04,2026-02-05,
Zeta Fabrication,LIGHT-5325,664,26.97,RECEIVED,2026-05-21,2026-06-15,Promotional order
Kappa Machinery Works,CABLE-8135,58,7.57,DRAFT,2026-04-15,2026-05-26,Urgent requirement
Nu Systems Inc,WIDGET-3400,4085,125.33,DRAFT,2025-04-29,2025-05-06,Promotional order
Lambda Tools & Dies,CABLE-0091,4168,7.68,APPROVED,2025-04-10,2025-05-12,Urgent requirement
Kappa Machinery Works,SCAN-0403,4775,5.63,RECEIVED,2026-06-17,2026-07-28,
Beta Manufacturing Inc,PACK-6531,741,78.71,ORDERED,2025-09-24,2025-10-20,Backfill stock
Omicron Materials Tech,SCAN-0787,2349,50.11,APPROVED,2026-02-13,2026-02-24,
Lambda Tools & Dies,CABLE-2051,1433,6.45,ORDERED,2025-05-16,2025-06-19,Standard order
Alpha Components Ltd,FILTER-4401,358,65.37,DRAFT,2025-07-04,2025-08-13,Backfill stock
Xi Industrial Supply,SEAL-5828,2762,160.65,DRAFT,2026-06-28,2026-08-11,
Eta Packaging Co,CART-8310,3332,25.85,PARTIAL,2025-08-11,2025-08-30,
Epsilon Industrial,PACK-3117,569,122.55,PENDING_APPROVAL,2025-10-29,2025-12-10,
Eta Packaging Co,TOOL-4977,2537,20.01,RECEIVED,2025-08-18,2025-09-22,Promotional order
Eta Packaging Co,PRINT-0607,557,16.07,APPROVED,2025-08-17,2025-09-22,Backfill stock
Theta Electronics,PACK-3541,907,9.77,RECEIVED,2025-09-19,2025-10-07,Urgent requirement
Alpha Components Ltd,BATT-4678,4913,63.41,PARTIAL,2025-12-17,2026-01-03,Promotional order
Epsilon Industrial,PACK-1285,2649,50.20,PENDING_APPROVAL,2025-04-25,2025-05-29,
Eta Packaging Co,WIDGET-8570,3399,56.39,ORDERED,2026-03-14,2026-04-10,
Iota Hardware Solutions,BATT-5087,1110,5.97,APPROVED,2025-05-14,2025-06-26,Promotional order
Iota Hardware Solutions,FILTER-4105,390,239.30,RECEIVED,2025-10-29,2025-11-26,Urgent requirement
Mu Engineering Corp,AUDIO-9409,4559,8.55,PENDING_APPROVAL,2025-09-17,2025-10-18,
Kappa Machinery Works,WIDGET-8572,1031,20.64,PARTIAL,2026-02-05,2026-02-14,Quarterly restock
Kappa Machinery Works,PACK-5419,1894,16.12,RECEIVED,2025-08-17,2025-08-28,
Lambda Tools & Dies,LIGHT-0364,3977,11.09,PARTIAL,2025-04-17,2025-04-26,Backfill stock
Mu Engineering Corp,UNIF-8130,4280,8.82,DRAFT,2026-01-03,2026-01-13,Promotional order
Omicron Materials Tech,AUDIO-4541,2661,39.22,PARTIAL,2025-06-02,2025-07-17,Backfill stock
Zeta Fabrication,CHARG-1425,4211,16.49,ORDERED,2026-06-18,2026-07-01,Backfill stock
Lambda Tools & Dies,GLOVE-5040,1235,3.03,CANCELLED,2025-11-12,2025-12-03,Quarterly restock
Alpha Components Ltd,LIGHT-9746,2962,39.75,CANCELLED,2025-02-26,2025-04-02,
Theta Electronics,LABEL-5455,2786,18.30,APPROVED,2025-07-14,2025-08-10,
Nu Systems Inc,PRINT-6288,538,133.19,CANCELLED,2026-04-09,2026-04-29,Promotional order
Eta Packaging Co,TOOL-4410,1530,22.24,DRAFT,2025-12-31,2026-01-12,
Mu Engineering Corp,AUDIO-2455,2638,7.24,DRAFT,2025-10-09,2025-11-17,Quarterly restock
Mu Engineering Corp,CHARG-3967,3462,22.90,DRAFT,2026-03-31,2026-05-10,Quarterly restock
Mu Engineering Corp,LABEL-5926,4108,9.91,CANCELLED,2026-02-01,2026-02-12,Backfill stock
Xi Industrial Supply,PACK-0484,705,16.01,CANCELLED,2025-03-30,2025-05-14,
Epsilon Industrial,WIDGET-0987,553,161.62,ORDERED,2026-06-08,2026-06-27,
Omicron Materials Tech,SCAN-6990,1085,18.89,RECEIVED,2026-05-01,2026-06-07,
Eta Packaging Co,FILTER-4272,51,8.67,ORDERED,2025-05-05,2025-05-30,
Beta Manufacturing Inc,LIGHT-7401,2282,25.01,PARTIAL,2025-06-17,2025-07-20,
Nu Systems Inc,PRINT-7071,2850,15.41,RECEIVED,2026-01-21,2026-02-27,
Eta Packaging Co,BATT-7443,3079,21.06,CANCELLED,2025-09-22,2025-09-29,Promotional order
Nu Systems Inc,CASE-9571,4229,87.62,ORDERED,2026-01-05,2026-02-03,
Delta Parts Supply,PACK-4889,1438,16.11,CANCELLED,2025-09-26,2025-10-31,Urgent requirement
Zeta Fabrication,CHARG-4260,4104,9.19,RECEIVED,2025-07-25,2025-08-01,Standard order
Iota Hardware Solutions,PRINT-7676,3204,58.43,ORDERED,2025-03-05,2025-03-29,Promotional order
Iota Hardware Solutions,CART-5426,1252,8.82,CANCELLED,2025-12-28,2026-02-06,Promotional order
Epsilon Industrial,PRINT-4367,1890,9.59,PARTIAL,2026-04-23,2026-05-15,
Epsilon Industrial,CHARG-2896,2346,32.33,CANCELLED,2025-09-23,2025-11-03,Urgent requirement
Epsilon Industrial,SEAL-8447,4352,7.29,RECEIVED,2025-02-17,2025-03-30,
Eta Packaging Co,LIGHT-4177,1476,12.99,ORDERED,2026-04-22,2026-05-05,Standard order
Zeta Fabrication,LABEL-9010,3786,29.76,PARTIAL,2025-03-29,2025-04-26,
Beta Manufacturing Inc,PACK-2570,582,13.26,ORDERED,2025-03-29,2025-04-20,
Delta Parts Supply,TOOL-4781,214,268.31,DRAFT,2025-05-01,2025-06-02,
Eta Packaging Co,ELEC-6951,1439,24.71,RECEIVED,2026-02-11,2026-03-24,
Theta Electronics,PACK-2823,672,14.75,APPROVED,2026-04-21,2026-06-03,Quarterly restock
Gamma Raw Materials,CHARG-8095,3366,178.50,PARTIAL,2026-03-10,2026-04-14,Urgent requirement
Lambda Tools & Dies,LABEL-1680,3264,15.68,APPROVED,2026-06-16,2026-07-29,
Theta Electronics,SCAN-2310,2785,6.08,RECEIVED,2025-06-26,2025-07-15,
Gamma Raw Materials,SCAN-8238,501,12.52,PENDING_APPROVAL,2025-10-27,2025-11-07,Promotional order
Nu Systems Inc,LABEL-3919,2107,17.01,APPROVED,2026-05-05,2026-05-18,Standard order
Zeta Fabrication,FILTER-8486,1571,17.68,PARTIAL,2025-04-26,2025-06-08,
Beta Manufacturing Inc,LABEL-1509,4995,22.05,DRAFT,2026-03-22,2026-04-27,
Lambda Tools & Dies,SEAL-9925,1667,29.82,CANCELLED,2026-02-05,2026-03-03,
Delta Parts Supply,CART-3219,1632,11.26,PENDING_APPROVAL,2025-12-24,2026-01-20,Urgent requirement
Xi Industrial Supply,AUDIO-5911,2055,121.24,RECEIVED,2025-06-29,2025-07-11,Urgent requirement
Beta Manufacturing Inc,BATT-5527,2506,9.55,CANCELLED,2025-03-12,2025-04-06,
Xi Industrial Supply,RACK-7357,3910,60.27,RECEIVED,2026-05-07,2026-05-14,
Eta Packaging Co,CART-2064,3078,230.59,DRAFT,2025-03-10,2025-04-03,Promotional order
Zeta Fabrication,CASE-6077,3231,33.42,CANCELLED,2026-04-28,2026-06-06,Promotional order
Eta Packaging Co,UNIF-7104,1977,3.15,CANCELLED,2025-11-04,2025-11-30,Backfill stock
Omicron Materials Tech,RACK-8320,1009,11.97,PENDING_APPROVAL,2025-05-16,2025-06-18,
Nu Systems Inc,LIGHT-9250,1193,182.43,CANCELLED,2025-01-24,2025-02-17,Quarterly restock
Xi Industrial Supply,RACK-4826,1252,469.76,PENDING_APPROVAL,2025-03-20,2025-04-01,Quarterly restock
Epsilon Industrial,LABEL-4304,1790,165.66,RECEIVED,2025-12-16,2025-12-26,
Kappa Machinery Works,GLOVE-8872,1438,38.63,RECEIVED,2025-08-01,2025-09-09,
Gamma Raw Materials,ELEC-1547,1183,9.96,PENDING_APPROVAL,2026-06-02,2026-06-21,Urgent requirement
Beta Manufacturing Inc,PACK-0043,3060,422.88,APPROVED,2026-05-17,2026-06-20,Standard order
Eta Packaging Co,CART-0998,3230,14.03,PENDING_APPROVAL,2025-02-09,2025-03-07,Urgent requirement
Alpha Components Ltd,FILTER-4426,3490,7.25,CANCELLED,2025-07-25,2025-08-08,Backfill stock
Delta Parts Supply,AUDIO-6821,57,3.73,PENDING_APPROVAL,2025-07-10,2025-07-23,Standard order
Beta Manufacturing Inc,PACK-4360,4754,19.64,RECEIVED,2025-05-14,2025-06-26,Standard order
Nu Systems Inc,GLOVE-9753,932,64.22,PARTIAL,2025-02-18,2025-04-04,Standard order
Delta Parts Supply,PACK-4798,588,15.85,APPROVED,2025-05-12,2025-05-20,
Kappa Machinery Works,CASE-8881,1721,7.89,PARTIAL,2025-01-28,2025-02-08,
Xi Industrial Supply,UNIF-0223,929,17.55,CANCELLED,2025-08-10,2025-09-12,Urgent requirement
Kappa Machinery Works,PACK-4784,1772,62.08,RECEIVED,2025-07-20,2025-08-13,
Delta Parts Supply,CABLE-0964,74,181.05,DRAFT,2026-01-16,2026-02-04,
Delta Parts Supply,PRINT-0475,2989,39.22,CANCELLED,2025-12-19,2026-01-22,Quarterly restock
Omicron Materials Tech,CASE-9185,4529,277.91,RECEIVED,2025-01-18,2025-02-13,
Alpha Components Ltd,CHARG-6747,2313,302.76,APPROVED,2025-11-27,2025-12-26,Standard order
Lambda Tools & Dies,PACK-9342,1772,65.21,DRAFT,2025-12-07,2026-01-11,Backfill stock
Beta Manufacturing Inc,TOOL-9270,1728,4.61,DRAFT,2025-01-02,2025-01-24,Standard order
Mu Engineering Corp,PACK-6560,4126,20.15,PARTIAL,2026-01-04,2026-01-20,Standard order
Iota Hardware Solutions,FILTER-8263,3152,10.34,DRAFT,2025-09-25,2025-10-14,Backfill stock
Gamma Raw Materials,RACK-0230,317,18.46,PARTIAL,2025-05-27,2025-06-23,
Theta Electronics,UNIF-3276,4509,59.17,DRAFT,2025-08-08,2025-09-12,
Delta Parts Supply,TOOL-2514,473,6.22,CANCELLED,2026-02-24,2026-04-08,Backfill stock
Iota Hardware Solutions,PACK-3363,554,5.40,ORDERED,2025-03-21,2025-04-09,Backfill stock
Alpha Components Ltd,RACK-5720,1013,12.08,DRAFT,2025-03-15,2025-04-26,Standard order
Delta Parts Supply,PACK-1229,4099,54.06,APPROVED,2026-06-12,2026-07-11,Backfill stock
Mu Engineering Corp,ELEC-2215,1625,22.55,DRAFT,2025-01-09,2025-02-22,Backfill stock
Lambda Tools & Dies,FILTER-2711,2657,34.60,RECEIVED,2026-01-30,2026-02-15,
Xi Industrial Supply,PACK-7068,691,13.61,PENDING_APPROVAL,2026-04-02,2026-04-12,Standard order
Omicron Materials Tech,GADGET-3126,1108,31.49,PARTIAL,2025-09-19,2025-10-02,
Nu Systems Inc,SEAL-1796,956,30.28,APPROVED,2026-06-12,2026-07-03,Quarterly restock
Epsilon Industrial,GADGET-9813,3377,21.95,PENDING_APPROVAL,2026-02-26,2026-03-09,Quarterly restock
Beta Manufacturing Inc,PACK-6766,4666,22.64,RECEIVED,2025-03-03,2025-03-10,Standard order
Beta Manufacturing Inc,BATT-3393,1846,9.55,ORDERED,2026-01-26,2026-02-23,
Lambda Tools & Dies,PACK-7614,2063,13.32,RECEIVED,2025-07-16,2025-08-16,Backfill stock
Beta Manufacturing Inc,CASE-3947,2567,10.76,PENDING_APPROVAL,2025-06-29,2025-08-07,Urgent requirement
Mu Engineering Corp,GLOVE-4323,4987,123.34,PENDING_APPROVAL,2026-06-09,2026-07-22,Urgent requirement
Zeta Fabrication,SCAN-6017,110,497.39,RECEIVED,2025-10-04,2025-10-21,Standard order
Eta Packaging Co,CART-3792,3304,6.29,ORDERED,2026-05-19,2026-06-06,Standard order
Alpha Components Ltd,UNIF-8036,1565,5.48,DRAFT,2025-02-21,2025-03-23,Standard order
Omicron Materials Tech,PACK-7546,4740,18.95,RECEIVED,2025-03-28,2025-04-27,
Zeta Fabrication,TOOL-9041,2605,176.79,CANCELLED,2026-01-12,2026-01-29,
Epsilon Industrial,AUDIO-5201,1201,8.17,PENDING_APPROVAL,2025-05-12,2025-06-23,Backfill stock
Gamma Raw Materials,CHARG-8594,3978,160.19,PARTIAL,2025-03-03,2025-03-20,Urgent requirement
Omicron Materials Tech,CABLE-1247,3809,14.30,CANCELLED,2025-04-19,2025-05-11,Backfill stock
Gamma Raw Materials,GADGET-5118,2799,15.09,DRAFT,2025-09-08,2025-09-21,Backfill stock
Zeta Fabrication,PACK-2248,3104,37.08,DRAFT,2025-05-22,2025-06-15,Standard order
Delta Parts Supply,WIDGET-0250,996,29.84,APPROVED,2026-03-11,2026-04-06,Backfill stock
Gamma Raw Materials,TOOL-4621,2084,6.33,PARTIAL,2025-01-29,2025-02-28,
Lambda Tools & Dies,SCAN-2263,1140,13.34,DRAFT,2025-05-10,2025-06-13,Urgent requirement
Mu Engineering Corp,CASE-9231,3870,10.22,RECEIVED,2026-04-30,2026-06-13,
Mu Engineering Corp,BATT-5760,3350,182.70,CANCELLED,2025-11-10,2025-11-21,Standard order
Delta Parts Supply,PACK-0253,3718,8.35,PARTIAL,2026-01-25,2026-03-01,Quarterly restock
Mu Engineering Corp,LABEL-6601,1606,19.23,PARTIAL,2025-01-27,2025-02-05,
Beta Manufacturing Inc,ELEC-4632,4138,24.57,CANCELLED,2025-12-31,2026-01-18,Quarterly restock
Alpha Components Ltd,ELEC-1083,1229,12.66,DRAFT,2025-10-16,2025-11-01,Quarterly restock
Mu Engineering Corp,PACK-9338,1880,119.19,PENDING_APPROVAL,2025-08-04,2025-09-15,Standard order
Nu Systems Inc,CASE-3806,1788,32.48,DRAFT,2026-03-18,2026-04-19,
Epsilon Industrial,CASE-6772,4819,12.23,DRAFT,2025-04-25,2025-06-09,
Omicron Materials Tech,TOOL-1802,1014,5.23,ORDERED,2025-05-12,2025-06-03,Urgent requirement
Omicron Materials Tech,LIGHT-8106,1012,31.76,PARTIAL,2026-02-15,2026-02-22,Quarterly restock
Eta Packaging Co,CASE-2134,1772,11.18,RECEIVED,2025-11-06,2025-12-04,Backfill stock
Mu Engineering Corp,PACK-9516,1741,15.51,APPROVED,2026-04-18,2026-05-30,
Zeta Fabrication,WIDGET-8506,238,3.96,ORDERED,2025-03-09,2025-03-20,
Iota Hardware Solutions,CHARG-5027,2336,30.90,RECEIVED,2026-05-15,2026-06-07,Backfill stock
Gamma Raw Materials,CHARG-5028,1942,19.55,PENDING_APPROVAL,2026-02-20,2026-03-23,
Alpha Components Ltd,CASE-5072,4463,10.86,RECEIVED,2026-04-15,2026-04-29,Standard order
Iota Hardware Solutions,UNIF-1246,3385,45.46,RECEIVED,2026-05-17,2026-06-21,Promotional order
Epsilon Industrial,LABEL-7597,2411,181.31,PARTIAL,2025-10-26,2025-11-25,Quarterly restock
Theta Electronics,AUDIO-3971,888,226.48,CANCELLED,2026-06-17,2026-06-30,
Eta Packaging Co,GLOVE-5360,2383,38.05,CANCELLED,2025-12-10,2026-01-03,
Zeta Fabrication,LABEL-9785,3791,252.64,RECEIVED,2026-04-17,2026-06-01,Urgent requirement
Theta Electronics,LABEL-0906,2579,237.58,APPROVED,2025-08-04,2025-08-12,Urgent requirement
Beta Manufacturing Inc,GLOVE-3209,900,18.93,ORDERED,2025-06-26,2025-07-25,Quarterly restock
Beta Manufacturing Inc,PRINT-3006,4757,229.87,ORDERED,2026-04-04,2026-04-19,Backfill stock
Alpha Components Ltd,PACK-5997,2851,174.90,PENDING_APPROVAL,2025-12-01,2025-12-14,
Theta Electronics,CASE-8713,2959,6.96,RECEIVED,2026-02-18,2026-03-16,Quarterly restock
Nu Systems Inc,CHARG-3540,3636,19.38,RECEIVED,2025-05-19,2025-06-04,Urgent requirement
Gamma Raw Materials,CABLE-0841,2304,36.06,APPROVED,2026-02-20,2026-03-01,
Gamma Raw Materials,PACK-5579,1331,44.30,RECEIVED,2025-04-20,2025-05-14,
Eta Packaging Co,GADGET-6738,3747,43.90,APPROVED,2025-02-04,2025-02-14,Promotional order
Gamma Raw Materials,ELEC-9388,2855,7.34,PARTIAL,2025-07-19,2025-08-06,Urgent requirement
Zeta Fabrication,WIDGET-6922,2895,64.71,PARTIAL,2026-02-02,2026-02-16,
Omicron Materials Tech,CART-8518,2126,16.01,PENDING_APPROVAL,2025-08-11,2025-09-12,Backfill stock
Kappa Machinery Works,CHARG-1183,897,12.59,CANCELLED,2025-06-24,2025-07-03,
Theta Electronics,PACK-0559,2486,44.21,ORDERED,2025-05-28,2025-06-19,Quarterly restock
Beta Manufacturing Inc,PACK-1964,3869,25.49,ORDERED,2026-04-30,2026-06-13,Quarterly restock
Omicron Materials Tech,RACK-6681,274,18.92,APPROVED,2025-08-28,2025-09-09,Backfill stock
Lambda Tools & Dies,LIGHT-4432,1509,12.19,CANCELLED,2025-02-17,2025-03-14,Promotional order
Beta Manufacturing Inc,GADGET-7462,3797,51.98,PARTIAL,2026-04-23,2026-05-16,
Omicron Materials Tech,UNIF-9281,1626,9.69,APPROVED,2025-06-18,2025-07-29,
Alpha Components Ltd,TOOL-7966,3260,148.26,CANCELLED,2026-06-27,2026-08-01,Promotional order
Omicron Materials Tech,UNIF-8454,519,28.40,CANCELLED,2025-07-31,2025-08-09,
Gamma Raw Materials,RACK-2465,1752,7.99,PENDING_APPROVAL,2025-06-01,2025-06-21,
Theta Electronics,FILTER-0725,2259,12.57,CANCELLED,2025-01-31,2025-03-04,Promotional order
Lambda Tools & Dies,BATT-4325,2332,281.52,ORDERED,2025-09-14,2025-10-17,Urgent requirement
Epsilon Industrial,ELEC-2775,3475,25.15,RECEIVED,2026-01-11,2026-02-07,Backfill stock
Gamma Raw Materials,LABEL-9594,2078,31.90,PARTIAL,2026-04-26,2026-05-06,Quarterly restock
Beta Manufacturing Inc,CASE-6241,684,7.05,RECEIVED,2025-02-05,2025-03-03,
Lambda Tools & Dies,PACK-1194,463,8.00,CANCELLED,2026-03-14,2026-04-13,Backfill stock
Epsilon Industrial,TOOL-9618,414,19.78,ORDERED,2025-02-03,2025-02-20,
Theta Electronics,GADGET-5410,136,17.40,CANCELLED,2025-06-22,2025-07-14,
Xi Industrial Supply,BATT-4493,3302,16.62,CANCELLED,2026-02-11,2026-02-18,Backfill stock
Iota Hardware Solutions,PACK-1416,746,194.48,ORDERED,2025-11-24,2025-12-26,Promotional order
Gamma Raw Materials,BATT-6624,4024,55.92,DRAFT,2025-03-20,2025-04-27,
Beta Manufacturing Inc,BATT-5696,4987,64.35,PENDING_APPROVAL,2025-03-21,2025-04-22,Backfill stock
Gamma Raw Materials,CABLE-2143,1213,3.36,APPROVED,2025-03-14,2025-04-25,
Zeta Fabrication,GLOVE-6395,759,14.42,RECEIVED,2026-05-12,2026-05-29,Quarterly restock
Lambda Tools & Dies,CHARG-5965,4316,10.71,PENDING_APPROVAL,2026-03-23,2026-04-26,Urgent requirement
Theta Electronics,RACK-9169,1821,134.86,APPROVED,2025-02-18,2025-03-29,Promotional order
Mu Engineering Corp,LIGHT-7732,4238,17.94,RECEIVED,2025-04-26,2025-05-25,Quarterly restock
Xi Industrial Supply,PACK-6794,4329,9.28,PARTIAL,2025-01-25,2025-03-07,Urgent requirement
Theta Electronics,RACK-6050,3466,16.78,DRAFT,2025-02-20,2025-03-10,Quarterly restock
Theta Electronics,PACK-0222,1702,3.18,DRAFT,2025-10-15,2025-11-21,Urgent requirement
Kappa Machinery Works,CABLE-9181,342,130.26,ORDERED,2025-03-31,2025-04-23,Quarterly restock
Lambda Tools & Dies,ELEC-3538,3918,11.02,PENDING_APPROVAL,2026-05-26,2026-07-08,Promotional order
Kappa Machinery Works,BATT-2358,3389,18.08,CANCELLED,2025-12-02,2025-12-25,Quarterly restock
Theta Electronics,SEAL-2064,2068,132.29,RECEIVED,2026-06-08,2026-06-28,Quarterly restock
Nu Systems Inc,CASE-0488,3911,16.78,PARTIAL,2025-03-29,2025-04-27,Standard order
Lambda Tools & Dies,SEAL-1234,4155,11.65,PARTIAL,2025-02-01,2025-03-18,Urgent requirement
Epsilon Industrial,WIDGET-3406,1943,10.61,ORDERED,2025-05-31,2025-06-24,Backfill stock
Zeta Fabrication,CABLE-3043,4014,5.46,PENDING_APPROVAL,2026-02-04,2026-03-14,Promotional order
Nu Systems Inc,CABLE-7936,1520,17.37,DRAFT,2025-11-19,2025-12-18,Promotional order
Gamma Raw Materials,FILTER-0823,839,10.20,PARTIAL,2025-07-12,2025-07-30,
Epsilon Industrial,PACK-1583,749,9.11,RECEIVED,2025-03-12,2025-04-15,Urgent requirement
Iota Hardware Solutions,PACK-2843,2476,208.74,DRAFT,2025-08-19,2025-09-07,
Eta Packaging Co,WIDGET-5588,3853,34.12,RECEIVED,2026-02-20,2026-03-24,Backfill stock
Omicron Materials Tech,GLOVE-1077,815,14.39,PENDING_APPROVAL,2025-01-04,2025-02-09,Quarterly restock
Delta Parts Supply,RACK-1945,4825,19.02,ORDERED,2025-12-04,2026-01-03,Urgent requirement
Nu Systems Inc,SEAL-3561,3594,202.12,CANCELLED,2026-06-05,2026-07-03,Standard order
Eta Packaging Co,LABEL-6890,3004,3.92,CANCELLED,2025-03-19,2025-05-03,
