code,name,address,city,state,zip,country,capacity_sqft,manager_name,manager_phone,manager_email
WH-DQID,Delta Storage Facility,7304 Oak Ave,San Antonio,CA,36434,US,112665,Manager IDOXM,+1-452-244-5254,manager@stark.com
WH-NBHO,Epsilon Warehouse,8655 Elm St,Boston,TN,39634,US,108918,Manager YCKRA,+1-686-910-3593,manager@umbrella.com
WH-SDVC,Kappa Fulfillment,6397 Park Ave,Los Angeles,IL,23906,US,92249,Manager RFSMQ,+1-845-574-4187,manager@umbrella.com
WH-REKV,Iota Storage,862 Market St,Phoenix,OR,10894,US,119456,Manager JZZOC,+1-471-187-7421,manager@initech.com
WH-BSXQ,Gamma Logistics Park,3896 Elm St,Dallas,PA,36404,US,176884,Manager WSHLM,+1-847-907-3580,manager@globex.com
WH-QTCY,Zeta Cross-Dock,1370 River Rd,Boston,WA,68732,US,181853,Manager TZPUF,+1-474-220-9333,manager@massive.com
WH-YZQY,Gamma Logistics Park,5573 Lake Dr,Los Angeles,AZ,15882,US,190376,Manager DMMHK,+1-504-953-9347,manager@hooli.com
WH-TEQB,Kappa Fulfillment,3390 Park Ave,Minneapolis,MA,18774,US,199613,Manager QFCNF,+1-673-977-7043,manager@stark.com
WH-XOJO,Delta Storage Facility,5398 River Rd,Dallas,MN,21521,US,174394,Manager ZSTVI,+1-781-157-5330,manager@oscorp.com
WH-CTIU,Delta Storage Facility,434 Lake Dr,Denver,IL,90567,US,150491,Manager MNBXW,+1-830-607-3630,manager@umbrella.com
WH-TLAE,Alpha Distribution Hub,9684 Broadway,Seattle,PA,82293,US,76057,Manager YQHAA,+1-291-810-8666,manager@globex.com
WH-XTFB,Kappa Fulfillment,1704 Hill Rd,Dallas,WA,11247,US,197626,Manager XCYZJ,+1-643-129-4821,manager@stark.com
WH-DHYM,Zeta Cross-Dock,4331 Elm St,Phoenix,TN,99568,US,83928,Manager NZMSV,+1-306-533-6178,manager@umbrella.com
WH-BYXD,Gamma Logistics Park,7733 Park Ave,Houston,FL,34749,US,131583,Manager SYAUM,+1-463-408-2341,manager@cyberdyne.com
WH-TVUX,Zeta Cross-Dock,5974 Market St,Austin,GA,10442,US,55424,Manager HXNLG,+1-904-677-8718,manager@hooli.com
WH-MFNI,Kappa Fulfillment,9893 Lake Dr,Denver,OR,12295,US,174641,Manager TTCMA,+1-843-301-9107,manager@oscorp.com
WH-MJUA,Alpha Distribution Hub,5505 Oak Ave,Seattle,CO,81331,US,18758,Manager UGOBH,+1-863-886-8221,manager@wayne.com
WH-RUDI,Iota Storage,3526 Hill Rd,Nashville,OH,43134,US,101878,Manager YXVLC,+1-995-494-6671,manager@acmecorp.com
WH-KMVY,Kappa Fulfillment,123 Broadway,Seattle,OH,55633,US,160276,Manager QMDOF,+1-208-894-3901,manager@globex.com
WH-FKXK,Gamma Logistics Park,3070 Broadway,New York,IL,80568,US,196543,Manager BFKGX,+1-292-764-2988,manager@oscorp.com
WH-EYDX,Beta Fulfillment Center,767 Hill Rd,San Antonio,CO,37534,US,9892,Manager RGNVO,+1-312-519-8456,manager@stark.com
WH-ZKFC,Alpha Distribution Hub,7252 Hill Rd,Denver,MN,64796,US,41298,Manager RXHPC,+1-917-639-3283,manager@globex.com
WH-XNTX,Epsilon Warehouse,9163 Main St,San Diego,OR,18347,US,153719,Manager RRLTK,+1-484-872-9947,manager@initech.com
WH-EPPL,Alpha Distribution Hub,3387 Oak Ave,Dallas,GA,71033,US,176265,Manager SLYCX,+1-495-532-7594,manager@globex.com
WH-YDBP,Beta Fulfillment Center,5892 Hill Rd,Phoenix,IL,78401,US,173905,Manager MIIAZ,+1-676-305-3080,manager@wayne.com
WH-CFWU,Gamma Logistics Park,6662 Lake Dr,Minneapolis,MA,71860,US,87002,Manager VOXGO,+1-850-104-5110,manager@initech.com
WH-LXLE,Delta Storage Facility,469 Broadway,New York,MA,85674,US,137472,Manager YLZZE,+1-956-737-9659,manager@stark.com
WH-LRGU,Eta Distribution Center,369 Lake Dr,San Diego,GA,80883,US,45406,Manager QNOEK,+1-227-895-7148,manager@oscorp.com
WH-YESX,Epsilon Warehouse,2684 Elm St,Nashville,IL,28266,US,78074,Manager YKSMW,+1-326-236-8463,manager@initech.com
WH-VFNC,Theta Logistics Hub,9792 Main St,New York,OH,51365,US,39330,Manager XAZFM,+1-472-370-2824,manager@massive.com
WH-YVZO,Kappa Fulfillment,2762 Park Ave,Atlanta,MA,22374,US,23052,Manager NYLGW,+1-773-663-6232,manager@acmecorp.com
WH-BWWG,Kappa Fulfillment,2618 Main St,Minneapolis,PA,87352,US,14512,Manager HLOLJ,+1-279-843-4806,manager@umbrella.com
WH-ONVH,Epsilon Warehouse,2482 Washington Blvd,Denver,GA,71348,US,158972,Manager OQALB,+1-336-391-8370,manager@initech.com
WH-INGN,Epsilon Warehouse,1485 Broadway,Los Angeles,NY,15532,US,16922,Manager BTMES,+1-913-495-4544,manager@acmecorp.com
WH-GGDF,Beta Fulfillment Center,4437 Oak Ave,Houston,PA,41476,US,41982,Manager HPBKR,+1-832-304-7383,manager@umbrella.com
WH-WIIG,Alpha Distribution Hub,7686 Broadway,Seattle,FL,39562,US,179654,Manager BCPTO,+1-760-285-2093,manager@wayne.com
WH-EWWO,Alpha Distribution Hub,8621 Elm St,Philadelphia,OR,37848,US,77765,Manager YNUXJ,+1-592-570-6831,manager@globex.com
WH-NBBD,Gamma Logistics Park,8181 Park Ave,Houston,GA,50955,US,186874,Manager PPLTB,+1-571-749-2702,manager@wayne.com
WH-YCPI,Gamma Logistics Park,4305 Market St,Phoenix,OH,66285,US,70730,Manager ZFKBC,+1-849-783-2676,manager@hooli.com
WH-LUZB,Iota Storage,9011 Main St,Chicago,GA,25011,US,84171,Manager AEWDB,+1-658-201-7999,manager@umbrella.com
WH-JGFC,Alpha Distribution Hub,5710 Washington Blvd,San Antonio,OR,88118,US,170335,Manager VOSFU,+1-641-909-7864,manager@stark.com
WH-NYBK,Kappa Fulfillment,3593 Lake Dr,Boston,WA,34352,US,196232,Manager YJBZM,+1-264-634-5019,manager@globex.com
WH-XYEY,Iota Storage,2711 Park Ave,Minneapolis,OH,93389,US,79540,Manager YUJYU,+1-520-924-7108,manager@wayne.com
WH-BWZP,Epsilon Warehouse,9164 Park Ave,San Diego,NY,78122,US,161901,Manager WBLUO,+1-362-672-1117,manager@oscorp.com
WH-NYDX,Eta Distribution Center,9345 Elm St,San Antonio,MA,18721,US,131438,Manager EKLWJ,+1-779-510-5915,manager@umbrella.com
WH-XACW,Eta Distribution Center,6934 Elm St,Seattle,PA,37166,US,64287,Manager BEAOT,+1-466-109-9261,manager@massive.com
WH-MQNA,Alpha Distribution Hub,4430 Broadway,Chicago,TX,29304,US,195279,Manager PUAZM,+1-340-495-5998,manager@acmecorp.com
WH-VDBC,Theta Logistics Hub,8948 Lake Dr,San Antonio,WA,47138,US,161783,Manager SUYMM,+1-761-451-2555,manager@wayne.com
WH-PFOF,Alpha Distribution Hub,275 Oak Ave,Minneapolis,CA,84881,US,121069,Manager ZLMCF,+1-943-125-5412,manager@cyberdyne.com
WH-KITH,Epsilon Warehouse,2212 Lake Dr,Miami,IL,55451,US,165672,Manager VAUKB,+1-417-618-4021,manager@oscorp.com
WH-GFRB,Zeta Cross-Dock,4874 Market St,Houston,WA,26689,US,107968,Manager UNZLI,+1-811-233-5221,manager@globex.com
WH-OIEK,Alpha Distribution Hub,2125 Washington Blvd,Atlanta,CA,82364,US,42875,Manager IJHBV,+1-792-501-1066,manager@cyberdyne.com
WH-SLEX,Epsilon Warehouse,8913 Broadway,New York,AZ,34820,US,194122,Manager MERAO,+1-404-659-2102,manager@hooli.com
WH-XARE,Alpha Distribution Hub,4100 Oak Ave,Phoenix,MA,80333,US,98626,Manager FRCYL,+1-857-451-1165,manager@globex.com
WH-RXVB,Beta Fulfillment Center,5280 Park Ave,New York,MN,77168,US,145730,Manager FCRHN,+1-597-129-7932,manager@umbrella.com
WH-KFPK,Gamma Logistics Park,7043 Market St,San Diego,OH,89324,US,25008,Manager HIWAL,+1-724-522-6926,manager@wayne.com
WH-BCCU,Epsilon Warehouse,4054 Oak Ave,Boston,CO,98759,US,178065,Manager GAJOO,+1-487-184-2166,manager@wayne.com
WH-MRVN,Kappa Fulfillment,8969 Elm St,New York,PA,58301,US,124478,Manager NWMDO,+1-227-214-6497,manager@globex.com
WH-FPZX,Epsilon Warehouse,283 River Rd,Chicago,PA,32333,US,83568,Manager QHTAM,+1-260-664-4745,manager@cyberdyne.com
WH-HYOQ,Iota Storage,2671 Broadway,Chicago,OH,66393,US,58211,Manager CELRW,+1-386-317-4053,manager@massive.com
WH-UVSS,Zeta Cross-Dock,9391 Oak Ave,Philadelphia,WA,98879,US,119194,Manager SSOEU,+1-224-174-2706,manager@stark.com
WH-LVBL,Epsilon Warehouse,7484 River Rd,Chicago,WA,64484,US,179242,Manager SKLZA,+1-519-985-1268,manager@hooli.com
WH-VVBM,Epsilon Warehouse,1878 Broadway,Austin,PA,22272,US,91764,Manager RBATI,+1-650-161-5287,manager@wayne.com
WH-BNZN,Kappa Fulfillment,6168 Washington Blvd,New York,TN,86248,US,78720,Manager EQXEY,+1-424-261-9721,manager@initech.com
WH-ADPL,Eta Distribution Center,2925 Broadway,Phoenix,PA,68692,US,33202,Manager RBAWF,+1-315-791-3400,manager@oscorp.com
WH-NAVM,Zeta Cross-Dock,9651 Park Ave,Philadelphia,TN,41352,US,121520,Manager SNNHW,+1-833-755-2998,manager@massive.com
WH-TJNK,Eta Distribution Center,6137 Lake Dr,Phoenix,FL,83032,US,149471,Manager EQIDP,+1-217-129-6541,manager@massive.com
WH-MIYQ,Alpha Distribution Hub,4879 Park Ave,Nashville,MA,88835,US,175155,Manager VMSKF,+1-239-452-1794,manager@umbrella.com
WH-KNRG,Delta Storage Facility,5306 Main St,Seattle,PA,14229,US,89973,Manager SFLVS,+1-610-936-8491,manager@initech.com
WH-VZGS,Iota Storage,1025 Broadway,Houston,MA,93130,US,93089,Manager KZYIZ,+1-214-311-9981,manager@stark.com
WH-XGVF,Theta Logistics Hub,3653 Broadway,Minneapolis,FL,34566,US,26961,Manager AHCOJ,+1-586-408-2126,manager@massive.com
WH-ZJRR,Beta Fulfillment Center,1275 Main St,Austin,PA,75057,US,168744,Manager SKESX,+1-251-124-5260,manager@acmecorp.com
WH-LSKM,Gamma Logistics Park,2641 River Rd,Houston,MA,54710,US,164705,Manager ZSVTV,+1-303-485-3049,manager@globex.com
WH-PZXG,Theta Logistics Hub,2568 Main St,Seattle,OH,77848,US,16043,Manager TWETF,+1-480-751-8928,manager@oscorp.com
WH-PYYU,Epsilon Warehouse,7453 Oak Ave,Nashville,WA,52107,US,177708,Manager IQTZM,+1-353-776-8856,manager@massive.com
WH-PTEM,Alpha Distribution Hub,2266 Hill Rd,San Antonio,CA,62707,US,33975,Manager NNNRD,+1-920-187-7846,manager@oscorp.com
WH-FVJK,Kappa Fulfillment,4488 River Rd,Nashville,GA,38113,US,14018,Manager ZHASK,+1-701-156-9582,manager@hooli.com
WH-QZHF,Iota Storage,4525 Hill Rd,Phoenix,GA,64292,US,6134,Manager ELNHM,+1-354-864-3517,manager@globex.com
WH-WUXE,Beta Fulfillment Center,4769 Lake Dr,Houston,CO,57714,US,139788,Manager QJFYV,+1-427-852-5852,manager@acmecorp.com
WH-VSNP,Epsilon Warehouse,5382 Market St,Austin,TN,24442,US,47854,Manager STYDW,+1-817-908-3237,manager@oscorp.com
WH-CYSI,Eta Distribution Center,9757 Hill Rd,Portland,TN,41773,US,145058,Manager NCJCF,+1-400-308-7394,manager@initech.com
WH-HMLK,Iota Storage,8597 Hill Rd,Chicago,CA,23000,US,88509,Manager EYKGA,+1-225-750-9650,manager@initech.com
WH-LEGP,Gamma Logistics Park,2858 Washington Blvd,Denver,OR,97343,US,41086,Manager LFQZL,+1-332-958-5853,manager@globex.com
WH-KIEP,Delta Storage Facility,543 Hill Rd,Houston,OR,58518,US,111008,Manager WBYSL,+1-251-239-9626,manager@initech.com
WH-HTXD,Theta Logistics Hub,9846 Oak Ave,Minneapolis,CA,60348,US,148736,Manager UTFQZ,+1-929-379-1546,manager@cyberdyne.com
WH-IMRB,Iota Storage,5018 Washington Blvd,Dallas,TX,40173,US,75852,Manager ZZMBL,+1-315-351-1998,manager@hooli.com
WH-VNPU,Delta Storage Facility,8556 Hill Rd,Portland,PA,79359,US,5956,Manager BZMZG,+1-830-164-2429,manager@oscorp.com
WH-HQDI,Eta Distribution Center,2883 Elm St,Phoenix,NY,58884,US,161081,Manager UAOUT,+1-991-720-2393,manager@stark.com
WH-TNZV,Delta Storage Facility,9330 Main St,Denver,TX,29193,US,115920,Manager VLLBV,+1-994-556-6716,manager@oscorp.com
WH-YLED,Theta Logistics Hub,5617 Lake Dr,San Diego,CO,97654,US,105521,Manager GZNEJ,+1-917-510-9580,manager@hooli.com
WH-TUFS,Kappa Fulfillment,124 Elm St,Dallas,AZ,46843,US,148436,Manager IKPYY,+1-723-778-3731,manager@oscorp.com
WH-GCSK,Gamma Logistics Park,1203 Lake Dr,Chicago,GA,77161,US,48940,Manager TPKXM,+1-773-415-4347,manager@massive.com
WH-VBYF,Alpha Distribution Hub,7302 Oak Ave,Minneapolis,FL,85993,US,141951,Manager APRWM,+1-808-468-3926,manager@hooli.com
WH-LNAT,Epsilon Warehouse,4362 Elm St,San Diego,FL,94910,US,130740,Manager MUKGK,+1-235-253-9391,manager@cyberdyne.com
WH-PUBX,Beta Fulfillment Center,3783 Oak Ave,San Diego,NY,78791,US,22932,Manager JMJEP,+1-581-240-2504,manager@wayne.com
WH-VUMJ,Zeta Cross-Dock,4369 Lake Dr,Nashville,CA,34108,US,97726,Manager VIOXB,+1-635-594-4003,manager@cyberdyne.com
WH-PDUP,Iota Storage,3781 Washington Blvd,Philadelphia,CA,16087,US,12964,Manager KKWSQ,+1-263-281-9776,manager@initech.com
WH-DCTT,Alpha Distribution Hub,7584 Market St,Nashville,AZ,41472,US,108684,Manager NOJFQ,+1-697-320-4114,manager@stark.com
WH-PDPJ,Delta Storage Facility,1742 Broadway,Houston,NY,91404,US,180191,Manager CBZGN,+1-640-710-5490,manager@acmecorp.com
WH-UTRZ,Epsilon Warehouse,8545 Oak Ave,San Antonio,AZ,17638,US,141309,Manager UALIG,+1-535-446-2864,manager@initech.com
WH-QVFZ,Eta Distribution Center,7010 Main St,Chicago,AZ,13462,US,185399,Manager TBKCM,+1-795-431-8858,manager@wayne.com
WH-KDQA,Beta Fulfillment Center,8182 Market St,Phoenix,OH,42965,US,194586,Manager QIPAU,+1-760-830-4208,manager@hooli.com
WH-BOKV,Beta Fulfillment Center,3829 Main St,Seattle,OH,85615,US,27770,Manager MXBAM,+1-405-767-7940,manager@oscorp.com
WH-JSRO,Theta Logistics Hub,4053 Oak Ave,Austin,CO,32380,US,89414,Manager VQXIO,+1-566-955-2458,manager@stark.com
WH-KJJY,Beta Fulfillment Center,4225 Hill Rd,Atlanta,MN,38252,US,140079,Manager JMRGJ,+1-360-211-6863,manager@wayne.com
WH-ROUN,Beta Fulfillment Center,1514 River Rd,Minneapolis,OH,42887,US,112277,Manager ERHZI,+1-503-131-4679,manager@hooli.com
WH-JOWD,Alpha Distribution Hub,5965 Elm St,Austin,MA,96273,US,120165,Manager PLIXG,+1-906-554-5836,manager@oscorp.com
WH-GQFR,Theta Logistics Hub,3820 Hill Rd,Atlanta,IL,92345,US,146658,Manager ZPOQN,+1-606-121-8009,manager@cyberdyne.com
WH-VDFI,Delta Storage Facility,8335 Broadway,Minneapolis,OR,31043,US,91729,Manager EUXCQ,+1-810-688-8716,manager@acmecorp.com
WH-YEHX,Eta Distribution Center,5829 Lake Dr,Miami,OR,19259,US,17365,Manager NIMBY,+1-307-563-2912,manager@hooli.com
WH-OBYX,Delta Storage Facility,1247 Park Ave,Seattle,WA,81257,US,195687,Manager XKQKK,+1-598-241-9654,manager@hooli.com
WH-NSVL,Eta Distribution Center,5924 River Rd,San Antonio,OR,98617,US,113683,Manager UPOKK,+1-533-457-6337,manager@wayne.com
WH-FDHE,Zeta Cross-Dock,5530 Park Ave,Philadelphia,TX,95730,US,96979,Manager LTTHU,+1-777-911-8076,manager@cyberdyne.com
WH-QQHD,Iota Storage,2681 Oak Ave,San Diego,IL,25063,US,91515,Manager FPCFH,+1-875-110-8952,manager@acmecorp.com
WH-TWWK,Eta Distribution Center,1986 Washington Blvd,Houston,AZ,45728,US,148515,Manager LPRGS,+1-895-184-1202,manager@globex.com
WH-ZDNE,Theta Logistics Hub,971 Washington Blvd,Austin,OH,86907,US,199223,Manager AIICR,+1-736-992-2025,manager@stark.com
WH-GJJS,Eta Distribution Center,6913 River Rd,Minneapolis,IL,58560,US,33418,Manager XEYKF,+1-615-787-5985,manager@initech.com
WH-MPEB,Kappa Fulfillment,1628 Washington Blvd,Los Angeles,OH,14022,US,164819,Manager RGUXL,+1-742-950-4419,manager@cyberdyne.com
WH-GYJS,Zeta Cross-Dock,8351 Hill Rd,San Diego,WA,67949,US,59346,Manager WGYFR,+1-299-307-6003,manager@globex.com
WH-WWPL,Zeta Cross-Dock,2885 Hill Rd,New York,CA,93882,US,26717,Manager WRYKO,+1-389-141-3047,manager@oscorp.com
WH-MINX,Zeta Cross-Dock,3467 Main St,Phoenix,OH,99785,US,60336,Manager PGGVF,+1-298-943-7345,manager@cyberdyne.com
WH-GLBJ,Gamma Logistics Park,3288 Elm St,Philadelphia,IL,67407,US,115526,Manager EXYOV,+1-247-969-4492,manager@hooli.com
WH-DZOP,Iota Storage,5618 Market St,Los Angeles,MA,91092,US,153490,Manager HAENJ,+1-342-568-2953,manager@globex.com
WH-JFET,Beta Fulfillment Center,5979 Main St,Portland,IL,66033,US,6867,Manager NQHQZ,+1-927-459-8484,manager@cyberdyne.com
WH-ZHAB,Beta Fulfillment Center,5097 Lake Dr,Austin,MA,66109,US,116944,Manager YWHNT,+1-295-189-4559,manager@globex.com
WH-ZNPT,Gamma Logistics Park,8851 Washington Blvd,Chicago,NY,10731,US,116149,Manager VEHDE,+1-267-880-5313,manager@cyberdyne.com
WH-ISVI,Gamma Logistics Park,2242 Broadway,Miami,MA,72183,US,26734,Manager MJSXQ,+1-447-504-3404,manager@stark.com
WH-MZJK,Beta Fulfillment Center,8611 Park Ave,Austin,MA,74629,US,113727,Manager WTPMV,+1-339-822-8607,manager@oscorp.com
WH-IUWN,Beta Fulfillment Center,5369 River Rd,Denver,NY,93815,US,6883,Manager QKXLP,+1-628-431-8392,manager@umbrella.com
WH-ROVH,Iota Storage,6484 Oak Ave,San Antonio,MN,15925,US,127701,Manager IBMJG,+1-929-180-8876,manager@cyberdyne.com
WH-CEGD,Delta Storage Facility,8295 Hill Rd,Houston,OR,92933,US,197854,Manager HJCDV,+1-782-338-4235,manager@umbrella.com
WH-DGWE,Eta Distribution Center,9136 Market St,Chicago,CO,81032,US,28212,Manager XFXTI,+1-506-293-3388,manager@globex.com
WH-EIZN,Gamma Logistics Park,7807 Oak Ave,Phoenix,MA,86983,US,104749,Manager VPHXG,+1-400-529-6525,manager@acmecorp.com
WH-JBUE,Delta Storage Facility,5366 River Rd,Chicago,MA,14558,US,100560,Manager BHDLF,+1-509-346-6745,manager@oscorp.com
WH-VRNL,Iota Storage,2512 River Rd,Chicago,WA,95534,US,181249,Manager JDRLT,+1-790-529-2848,manager@oscorp.com
WH-MXKA,Gamma Logistics Park,1030 Broadway,Phoenix,TN,37679,US,107860,Manager NXTDJ,+1-390-375-6040,manager@oscorp.com
WH-ULTJ,Eta Distribution Center,9844 Washington Blvd,Phoenix,MA,70955,US,70251,Manager GNKCJ,+1-754-749-5315,manager@acmecorp.com
WH-QVGS,Alpha Distribution Hub,8895 Washington Blvd,Los Angeles,OR,27888,US,66633,Manager JCQFF,+1-501-665-5840,manager@stark.com
WH-FICM,Zeta Cross-Dock,3150 Broadway,New York,WA,56395,US,112761,Manager HCRZC,+1-893-532-7035,manager@initech.com
WH-KLVB,Beta Fulfillment Center,3521 Washington Blvd,Boston,NY,16718,US,40701,Manager HZLSI,+1-500-851-1086,manager@initech.com
WH-UKZF,Epsilon Warehouse,7148 Park Ave,San Diego,CO,70767,US,145983,Manager MMDAY,+1-883-483-7099,manager@cyberdyne.com
WH-ZCJJ,Beta Fulfillment Center,2263 Washington Blvd,Philadelphia,PA,25540,US,141780,Manager WZTSW,+1-994-397-6170,manager@acmecorp.com
WH-DOXR,Epsilon Warehouse,4230 Main St,San Diego,WA,67810,US,166759,Manager EZREK,+1-385-682-9121,manager@umbrella.com
WH-ORAQ,Delta Storage Facility,8528 Broadway,Austin,MA,19904,US,72941,Manager TVQYB,+1-374-868-7080,manager@umbrella.com
WH-SUQR,Gamma Logistics Park,9851 Lake Dr,Portland,NY,59844,US,190490,Manager DMBAB,+1-320-438-1635,manager@globex.com
WH-RNOG,Alpha Distribution Hub,4882 Elm St,Philadelphia,TX,38184,US,72746,Manager TTEEZ,+1-380-787-3621,manager@wayne.com
WH-YSYD,Beta Fulfillment Center,8297 Lake Dr,Phoenix,FL,71558,US,11786,Manager ELYGV,+1-637-559-8409,manager@initech.com
WH-KXDA,Alpha Distribution Hub,9264 Main St,Portland,NY,73259,US,195876,Manager KDAPF,+1-628-146-7052,manager@massive.com
WH-MPXP,Delta Storage Facility,7730 River Rd,Los Angeles,TN,45851,US,180308,Manager XIFXI,+1-589-494-4010,manager@massive.com
WH-KLMV,Beta Fulfillment Center,9995 Market St,Los Angeles,TX,81637,US,13807,Manager IKDMO,+1-478-346-5561,manager@hooli.com
WH-LXRA,Kappa Fulfillment,2615 Broadway,Austin,MA,82119,US,83616,Manager FCKJP,+1-804-421-3054,manager@hooli.com
WH-JGDH,Eta Distribution Center,9433 River Rd,Boston,OH,57449,US,36183,Manager FGXCX,+1-958-779-3673,manager@wayne.com
WH-SKDJ,Kappa Fulfillment,9992 Broadway,Phoenix,TN,23238,US,194463,Manager AKXTR,+1-246-562-7103,manager@initech.com
WH-ZQLW,Theta Logistics Hub,9351 Oak Ave,Philadelphia,FL,90608,US,64089,Manager XSAVC,+1-477-375-7730,manager@globex.com
WH-AZNG,Kappa Fulfillment,7374 Elm St,Phoenix,GA,14208,US,89477,Manager XTECK,+1-465-951-6816,manager@hooli.com
WH-ZLLH,Alpha Distribution Hub,7792 Main St,Nashville,MN,43693,US,18902,Manager UQBBP,+1-576-222-8326,manager@hooli.com
WH-WBQS,Epsilon Warehouse,3356 Oak Ave,Seattle,CA,20650,US,160884,Manager TUCQT,+1-380-723-3321,manager@hooli.com
WH-VYZO,Zeta Cross-Dock,3178 Lake Dr,Boston,OR,75202,US,199419,Manager QZDLI,+1-867-707-7928,manager@umbrella.com
WH-MKFS,Epsilon Warehouse,9920 Hill Rd,Nashville,MA,24411,US,94223,Manager WXLYM,+1-454-824-2937,manager@initech.com
WH-IBCG,Zeta Cross-Dock,2673 Park Ave,Austin,OH,23051,US,147971,Manager FUSVA,+1-480-683-5072,manager@massive.com
WH-OCIC,Beta Fulfillment Center,2739 Broadway,Boston,TN,78771,US,155145,Manager PUBSQ,+1-351-469-6759,manager@oscorp.com
WH-QHZG,Zeta Cross-Dock,1678 River Rd,Phoenix,MA,22329,US,13869,Manager RSWXK,+1-971-991-4383,manager@oscorp.com
WH-QTOS,Beta Fulfillment Center,1588 Hill Rd,Nashville,FL,65550,US,59656,Manager ZDGTQ,+1-420-218-1348,manager@initech.com
WH-PHTZ,Gamma Logistics Park,1866 Washington Blvd,New York,NY,57820,US,104039,Manager PAYGG,+1-313-387-3412,manager@massive.com
WH-NDOA,Beta Fulfillment Center,7633 Hill Rd,Portland,OR,58739,US,121012,Manager OAUJQ,+1-470-888-2180,manager@oscorp.com
WH-BBSJ,Eta Distribution Center,3163 Elm St,New York,OR,50359,US,114064,Manager ODBZI,+1-744-197-3761,manager@stark.com
WH-VUBU,Alpha Distribution Hub,8858 Hill Rd,Miami,FL,16657,US,186391,Manager RVOVR,+1-250-714-9274,manager@hooli.com
WH-EIRX,Alpha Distribution Hub,2930 Elm St,Austin,OR,25928,US,133359,Manager FVZOR,+1-999-593-8523,manager@stark.com
WH-ZRRS,Delta Storage Facility,8158 Park Ave,Los Angeles,OR,16588,US,154848,Manager ZTFNJ,+1-528-236-2516,manager@initech.com
WH-VWXD,Kappa Fulfillment,8267 Elm St,Dallas,NY,30677,US,74148,Manager HPLCV,+1-497-284-1000,manager@oscorp.com
WH-BQAB,Epsilon Warehouse,4857 Broadway,Houston,NY,48198,US,70025,Manager FGYAK,+1-699-597-7296,manager@massive.com
WH-FPDC,Kappa Fulfillment,6960 Park Ave,Phoenix,OR,63847,US,113765,Manager PBKSH,+1-293-851-3622,manager@umbrella.com
WH-ABRY,Epsilon Warehouse,4624 Oak Ave,Los Angeles,AZ,48765,US,103860,Manager FMRTN,+1-778-705-6665,manager@hooli.com
WH-PGUK,Epsilon Warehouse,4392 Oak Ave,Seattle,AZ,76046,US,191181,Manager JBHMQ,+1-560-939-3584,manager@stark.com
WH-LEEZ,Delta Storage Facility,7238 Park Ave,Boston,WA,78138,US,88128,Manager SBPWD,+1-210-125-8758,manager@stark.com
WH-LUFI,Delta Storage Facility,717 Park Ave,Phoenix,OR,70027,US,9608,Manager SGKSH,+1-903-763-1529,manager@oscorp.com
WH-HVDQ,Epsilon Warehouse,2154 Market St,Chicago,NY,66540,US,125045,Manager UCDOB,+1-691-785-7036,manager@initech.com
